tahun_data,komoditas_pangan,bulan_data,ketersdiaan_data,kebutuhan_data,deviasi_data
2019,Padi,Desember,5736886,3197547,2539339
2019,Jagung,Desember,3467314,31246,3436068
2019,Kedelai,Desember,64334,340238,-275904
2019,K. Tanah,Desember,74605,3472,71133
2019,K. Hijau,Desember,99989,17359,82630
2019,Ubi Kayu,Desember,2979780,350654,2629126
2019,Ubi Jalar,Desember,139709,72908,66801
2019,Gula ,Desember,216467,256915,-40448
2019,Daging,Desember,399862,270802,129060
2019,Telur,Desember,306039,232612,73427
2019,Susu ,Desember,102949,65965,36984
2019,Ikan ,Desember,1008721,430506,578215
2019,Cabai merah,Desember,313656,64576,249080
2019,Cabai rawit,Desember,25687,62146,-36459
2019,Bawang merah,Desember,311108,99641,211467
2019,Garam ,Desember,793545,43051,750494
2020,Padi,DESEMBER,5611943,3092196,2519747
2020,Jagung,DESEMBER,3274511,31446,3243065
2020,Kedelai,DESEMBER,36508,324943,-288435
2020,K. Tanah,DESEMBER,83863,6988,76875
2020,K. Hijau,DESEMBER,97399,17470,79929
2020,Ubi Kayu,DESEMBER,2689219,307473,2381746
2020,Ubi Jalar,DESEMBER,143029,69880,73149
2020,Gula,DESEMBER,145248,255063,-109815
2020,Daging,DESEMBER,383425,377353,6072
2020,Telur,DESEMBER,328521,241086,87435
2020,Susu,DESEMBER,100622,94338,6284
2020,Ikan,DESEMBER,160474,58699,101775
2020,Cabai merah,DESEMBER,153562,61844,91718
2020,Cabai rawit,DESEMBER,589897,94338,495559
2020,Bawang merah,DESEMBER,33304,58350,-25046
2020,Garam,DESEMBER,645932,443739,202193
2021,BERAS,JANUARI,366613,364148,2465
2021,JAGUNG,JANUARI,477696,211767,265929
2021,KEDELAI,JANUARI,3463,73437,-69974
2021,BAWANG MERAH,JANUARI,64461,8844,55616
2021,BAWANG PUTIH,JANUARI,25317,6656,18660
2021,CABAI RAWIT,JANUARI,18117,10863,7254
2021,CABAI BESAR,JANUARI,21889,8954,12935
2021,DAGING SAPI,JANUARI,23435,5737,17698
2021,DAGING AYAM,JANUARI,56857,10630,46226
2021,TELUR,JANUARI,215401,140934,74467
2021,GULA KONSUMSI,JANUARI,32538,30708,1830
2021,MINYAK GORENG,JANUARI,104562,78773,25789
2021,BERAS,FEBRUARI,1074848,328908,745940
2021,JAGUNG,FEBRUARI,643637,258157,385480
2021,KEDELAI,FEBRUARI,696,66330,-65634
2021,BAWANG MERAH,FEBRUARI,46696,7989,38708
2021,BAWANG PUTIH,FEBRUARI,27472,6012,21460
2021,CABAI RAWIT,FEBRUARI,19070,9812,9258
2021,CABAI BESAR,FEBRUARI,25735,8088,17647
2021,DAGING SAPI,FEBRUARI,20619,4634,15985
